"Pathway Name","Full Stack Developer"
"Pathway Description","Good links to all parts of the stack, even though that's a ridiculously large area. Bump."
"Content Warning","!!!WARNING: Please basically ignore this pathway. This is an ad hoc development pathway that I've been using to quickly test this system. The links contained within work but many times the ""curator context"" is comedically incomplete or wrong. "
"Acknowledgments","The Corporate Learning Branch would like to acknowledge the support we received from many of our colleagues and partners in multiple branches/ministries during the development of this learning resource. We also appreciate the invaluable comments we received during our engagement sessions.

In particular, our sincere thanks go out to colleagues and partners at the following entities:

* Policy & Legislation, BC Data Service, CITZ
* Multiculturalism & Anti-Racism Branch, AG
* PSA REDI, Policy and Employee Relations
* SDPR Inclusion, Diversity and Cultural Safety (IDCS) & Anti-Racism 101 course
* BIPOC Employee Resource Group
* Indigenous Employees Network"
"Front End","Semantics - MDN Web Docs Glossary: Definitions of Web-related terms | MDN","https://developer.mozilla.org/en-US/docs/Glossary/Semantics","In programming, Semantics refers to the meaning of a piece of code — for example ""what effect does running that line of JavaScript have?"", or ""what purpose or role does that HTML element have"" (rather than ""what does it look like?"".)","Learn this stuff deeply. Knowing how to structure HTML well will serve you well.","Required","Read","8"
"Security","Diceware Passphrase Home","https://theworld.com/~reinhold/diceware.html","This page offers a better way to create a strong, yet easy to remember, passphrase for use with encryption and security programs. Weak passwords and passphrases are one of the most common flaws in computer security. Take a few minutes and learn how to do it right. The information presented here can be used by anyone. No background in cryptography or mathematics is required. Just follow the simple steps below.","Good tool.","Required","Read","0"
"Security","List of Emojis HEX/HTML Codes - DEV Community","https://dev.to/rodrigoodhin/list-of-emojis-hex-codes-35ma","Animal Emoji             Animal Type             Unicode Hex            ... Tagged with webdev, emoji, hexcodes, html.","","Required","Read","1"
"Security","Privacy Decrypted #4: Understanding anonymity vs. privacy | Proton","https://proton.me/blog/anonymity-vs-privacy","Anonymity is not the same thing as privacy, and confusing these two concepts can weaken your online security.","","Required","Read","2"
"Misc","5 Principles of Exceptional Case Studies in UX Portfolios | UX Tools","https://uxtools.co/blog/5-principles-of-exceptional-case-studies-in-ux-portfolios/","Principles to help you write unique and compelling UX Design case studies for your portfolio.","Because iut's good.","Required","Read","0"
"Misc","Archivematica: open-source digital preservation system","https://www.archivematica.org/en/","Archivematica: open-source digital preservation system","It doesn't matter how good your system is for taking backups if you never try to restore from those backups.","Required","Read","1"
"Misc","WakaTime - Dashboards for developers","https://wakatime.com/","Open source IDE plugins for programmers.","You might be asked to track how much time you're spending on different projects.","Bonus","Read","2"
"Misc","Linux: An Introduction to User Management - The New Stack","https://thenewstack.io/linux-an-introduction-to-user-management/","Should you use useradd or adduser? This tutorial will teach you how to manage other users on your Linux machine.","Basics! Gotta learn it.","Required","Read","3"
"Misc","Zotero | Your personal research assistant","https://www.zotero.org/","Zotero is a free, easy-to-use tool to help you collect, organize, cite, and share research.","Might be cool I dunno 🤷","Bonus","Read","4"
"Misc","Download Government Marks - Province of British Columbia","https://www2.gov.bc.ca/gov/content/governments/services-for-government/policies-procedures/bc-visual-identity/download-marks","Download provincial government marks (logos)","You're gonna need these.","Required","Read","5"
"Platforms","Just Ask! for Github organization access","https://just-ask-web-bdec76-prod.apps.silver.devops.gov.bc.ca/","Just Ask! A github app to just ask for Github organization access","","Required","Read","0"
"Platforms","BC Developer Guide | A guide to application development for the B.C. government. | B.C. government DevHub","https://developer.gov.bc.ca/docs/default/component/bc-developer-guide/use-github-in-bcgov/bc-government-organizations-in-github/#ministry-specific-private-organizations-in-github-enterprise","The B.C. government DevHub is a place to access common technical documentation, community knowledge bases, code samples and APIs.","Do yourself a favor and know this stuff.","Required","Read","1"
"Platforms","Common Hosted Single Sign-on (CSS)","https://bcgov.github.io/sso-requests/","The request process workflow tool for the RedHat SSO Dev Exchange service","We use this for Moodle and it should be preferred solution for SSO.","Required","Read","2"
"Platforms","PSA Learning System Homepage","https://learning.gov.bc.ca/psc/CHIPSPLM/EMPLOYEE/ELM/c/NUI_FRAMEWORK.PT_LANDINGPAGE.GBL?","Main registration platform for courses.","It's not the only game in town.","Required","Read","3"
"Platforms","Permalinks — Eleventy","https://www.11ty.dev/docs/permalinks/","Permalinks — Eleventy","Permalinks are more important than you might imagine.","Required","Read","4"
"Platforms","API Services Portal | API Directory","https://api.gov.bc.ca/devportal/api-directory","BC Gov API Directory Find an API and request an API key to get started","Use these where you can.","Required","Read","5"
